EMR Concept Fully Specified Name,EMR Concept short name,EMR Concept UUID,EMR Concept ID,EMR concept Data Type,EMR Options (Answers),EMR Form Name,EMR Form UUID
Q60- Ectopic kidney,,45dee006-0727-49f6-b994-6699f37c53ab,13255,N/A,,,
Q65- Talipes equinovarus,,84156708-9022-4122-b53e-208288c36f65,13256,N/A,,,
Q65- Talipes calcaneovarus,,26ec4f10-eb74-43f1-b078-242534b1b65b,13257,N/A,,,
Q65- Metatarsus varus,,bce42293-6da2-4e08-b8de-ab37aa58a7c8,13258,N/A,,,
Q65- Other specified congenital musculoskeletal deformities,,fb8d27c0-b519-43c9-a6db-b850473945fe,13259,N/A,,,
Q65- Polydactyly,,b0d5a4c7-dddc-4aad-ac31-136347500205,13260,N/A,,,
Q65- Other reduction defects of upper limb(s),,385f1019-9d87-49e4-96a2-99f0228d6032,13261,N/A,,,
Q65- Reduction defects of lower limb,,b5a981cb-bba2-4fca-a191-9536d749bb72,13262,N/A,,,
Q65- Macrocephaly,,f5166a11-88f6-4b05-a837-19809b2d93cc,13263,N/A,,,
Q65- Spina bifida occulta,,6b755462-3b98-4159-bcd5-430b66c3aa04,13264,N/A,,,
"Q65- Other congenital malformations of spine, not associated with scoliosis",,8f3c0c1f-943e-4252-9444-956c3e1f7978,13265,N/A,,,
Q65- Osteopetrosis,,a4093a8b-90a7-4378-95d6-16b94ed92405,13266,N/A,,,
"Q65- Congenital malformations of the musculoskeletal system, not elsewhere classified",,8cb8c930-05c7-4a32-9b57-340a17a0c9ac,13267,N/A,,,
Q65- Gastroschisis,,4e23e142-c97e-4c3c-bc3c-65a2922a6a59,13268,N/A,,,
Q80- Ichthyosis Vulgaris,,120e7514-9e11-427d-bff4-7552644ed013,13269,N/A,,,
Q80- Xeroderma Pigmentosum,,6a138ab3-6a98-44b1-a1cb-d8d427d75688,13270,N/A,,,
Q80- Neurofibromatosis (Neurofibromatosis (nonmalignant)),,f0c2ccba-8563-4ed1-8047-9bdfe92e2c7e,13271,N/A,,,
Q80- Conjoined twins,,482ba2b2-5920-47b2-affc-ad0dfe582a24,13272,N/A,,,
Q90- Down syndrome,,d16cfbf4-a1ee-4edc-ba18-0c1e767effa6,13273,N/A,,,
"Q90- Edwards syndrome, unspecified",,0d5cf3b6-f248-4c81-a7f4-1aa20ff9b701,13274,N/A,,,
"Q90- Patau syndrome, unspecified",,4104b019-8791-442e-9162-4fd48215d700,13275,N/A,,,
Q90- Turner syndrome,,8d7c4aa7-c83a-4965-b444-4adabcfb4aca,13276,N/A,,,
"Q90- Klinefelter syndrome, unspecified",,a5400027-e82f-411c-ab41-eb7cf4e5c6d4,13277,N/A,,,
"Q90- 46,XX true hermaphrodite",,5a35b0e3-f527-4372-ad36-57dcd473f12b,13278,N/A,,,
Q90- Chromosomal Abnormality (other specified chromosome abnormalities),,5a069ccb-f604-4d68-8011-ca5af86ae494,13279,N/A,,,
"Q90- Chromosomal abnormality, unspecified",,30cf8062-5c2f-4235-b006-bee98544b36e,13280,N/A,,,
Congenital Malformations,,75ff7400-0741-4301-a71d-fe6a1b965aad,13281,N/A,,,
R00- Heart Beat (Abnormalities of heart beat),,e9297a76-2577-4a7c-9365-1bdf9dcc15c0,13282,N/A,,,
"R00- Heartbeat (Tachycardia, unspecified)",,afb23edc-1e8e-4ae9-a7f5-9a454adf268a,13283,N/A,,,
"R00- Heartbeat (Bradycardia, unspecified)",,b77636dd-d696-432c-8caa-1a1dddc17df8,13284,N/A,,,
R00- Heartbeat (Palpitations),,f9b19d6e-3e0b-4aad-8b9a-ace6292241da,13285,N/A,,,
"R00- Murmur (Cardiac) (Cardiac murmur, unspecified)",,d6e8254e-08ee-435b-9ab8-4c6017842ded,13286,N/A,,,
"R00- Gangrene, not elsewhere classified",,c7895bfd-8466-40d3-a161-62cba9e6edc3,13287,N/A,,,
"R00- Blood-Pressure (Abnormal blood-pressure reading, without diagnosis)",,1d820015-e0dc-4e6b-bb2d-ed553e8c24ae,13288,N/A,,,
"R00- Elevated blood-pressure reading, without diagnosis of hypertension",,24898063-3030-4742-bf66-aa6b0788eeab,13289,N/A,,,
R00- Nonspecific low blood-pressure reading,,5ac4e40a-3119-4a1d-8c7c-a1911d6c68a5,13290,N/A,,,
R00- Haemorrhage from respiratory passages,,a93627da-253c-41cb-9c47-794f0d38c68e,13291,N/A,,,
R00- Epistaxis,,b22a9e4d-8fac-489c-9611-2a438b10ba0c,13292,N/A,,,
R00- Haemoptysis,,8574d1b1-ffaf-4a4f-afbd-cc358148e731,13293,N/A,,,
"R00- Haemorrhage (Haemorrhage from respiratory passages, unspecified)",,f1b858e7-ce34-4464-a8d0-8cfd09dd207f,13294,N/A,,,
R00- Cough,,df1fe62a-d508-4008-be65-97c92c96e800,13295,N/A,,,
R00- Respiratory Disorder (Abnormalities of breathing),,8497c2ec-c0b9-4fd1-af5f-9f41ea91269b,13296,N/A,,,
R00- Dyspnoea,,38ed95e5-8aa8-4f3a-8297-dcb1d55a77d2,13297,N/A,,,
R00- Stridor,,76247ef3-3b54-4fb7-bca2-2c2ca5f3d89b,13298,N/A,,,
R00- Wheezing,,eac6e2ea-d8bb-488d-b031-f907e764ccd4,13299,N/A,,,
R00- Hyperventilation,,c0b00028-deea-42ad-aaa4-261fcbd251c9,13300,N/A,,,
R00- Mouth breathing,,5058ecf8-88cb-46f1-9edc-5e08fd1bdf3f,13301,N/A,,,
R00- Hiccough,,0ae60b9b-9147-4f62-8658-05e49496719b,13302,N/A,,,
R00- Sneezing,,3eb7f6d8-ef2f-491f-bdc0-fd83415ca9a6,13303,N/A,,,
R00- Pain (Pain in throat and chest),,f8aae275-3baf-4d1c-a376-7c8069442d8e,13304,N/A,,,
R00- Pain in throat,,4ec99e63-da75-4b84-9617-ace99d4f7aee,13305,N/A,,,
R00- Pain (Chest pain on breathing),,41e7a36a-16f2-4809-b7e2-c5f08e753aa4,13306,N/A,,,
R00- Precordial pain,,6824998a-8eb8-40c2-a8db-fc7e46abe226,13307,N/A,,,
"R00- Pain (Chest pain, unspecified)",,952fa4bd-03f6-4ac2-b4aa-d140f88c5c6b,13308,N/A,,,
R00- Other symptoms and signs involving the circulatory and respiratory systems,,fb62b05d-0641-47a0-b1da-b167ada12ab7,13309,N/A,,,
"R00- Asphyxia (Intrauterine hypoxia, unspecified)",,77da3768-f85c-454c-a907-30c19f0e5321,13310,N/A,,,
R00- Pleurisy,,b70466b6-a605-4574-8bf5-aefc61ed0279,13311,N/A,,,
R00- Respiratory Arrest,,56aa2394-acc6-4b27-923b-6ef2495717c9,13312,N/A,,,
R00- Sputum (Abnormal sputum),,95b779e5-40e9-487d-8bc1-7bf828952795,13313,N/A,,,
R10- Pain (Abdominal and pelvic pain),,1724ae65-a088-4bb5-8c9b-e64d90c97726,13314,N/A,,,
R10- Acute Abdomen,,ef765020-56a8-44d1-8ce1-dc47503179e7,13315,N/A,,,
R10- Pain (Pain localized to upper abdomen),,9c07ddad-0f63-4a13-9c23-dafead9171d7,13316,N/A,,,
R10- Pain (Pelvic and perineal pain),,aab290b7-edcf-4218-8027-467e4f6a1212,13317,N/A,,,
R10- Pain (Pain localized to other parts of lower abdomen),,d86e1259-e041-4a30-a53a-1cadd762e306,13318,N/A,,,
R10- Other and unspecified abdominal pain,,93048c02-4591-420f-b676-f70c24387907,13319,N/A,,,
R10- Vomiting (Nausea and vomiting),,ef93969b-d7d6-4dac-96d2-d7419622fe6c,13320,N/A,,,
R10- Heartburn,,f9782a34-c359-4f62-b62d-a4181c77f8a6,13321,N/A,,,
R10- Dysphagia,,47045800-6e3e-4904-88d1-44b0a0ba852f,13322,N/A,,,
R10- Flatulence (Flatulence and related conditions),,3e489971-e5f0-4bac-83d9-0c35617b8963,13323,N/A,,,
R10- Faecal incontinence,,f2f8d07f-d850-42cb-b0f7-a48db65ec931,13324,N/A,,,
"R10- Hepatomegaly (Hepatomegaly, not elsewhere classified)",,4ce28aa4-647f-46ae-be49-1621b9035998,13325,N/A,,,
"R10- Splenomegaly (Splenomegaly, not elsewhere classified)",,2a75c31a-53c9-404f-9b02-bc10961aded9,13326,N/A,,,
"R10- Hepatosplenomegaly (Hepatomegaly with splenomegaly, not elsewhere classified)",,27719939-9a10-4618-bfe4-9b4b97d6c656,13327,N/A,,,
R10- Jaundice (Unspecified jaundice),,d774ef33-f464-417e-92dc-8528ffb60450,13328,N/A,,,
R10- Severe Jaundice (Unspecified jaundice),,e06d2612-e6e4-432c-9ec6-d03a3277eb55,13329,N/A,,,
R10- Ascites,,baf9940f-d646-4327-83e7-606c7d8f5101,13330,N/A,,,
R10- Other symptoms and signs involving the digestive system and abdomen,,33e8ccc1-ab17-476b-a426-c8e533dd8c75,13331,N/A,,,
"R10- Mass, Lump, Swelling (Intra-abdominal and pelvic swelling, mass and lump)",,f3d220bf-d197-4f8a-8f84-b4bde5196ae1,13332,N/A,,,
R10- Bowel Sounds (Abnormal bowel sounds),,ae0c65da-f5c1-4c83-bb2b-4c09f96a32f2,13333,N/A,,,
R10- Visible peristalsis,,2efa11a5-7d77-44c4-ae5e-2e63952993dc,13334,N/A,,,
R10- Abdominal rigidity,,ca528654-0a94-4f3c-9cef-5e5c4e4fc4b2,13335,N/A,,,
R10- Bowel Habit (Change in bowel habit),,386aea2b-c33e-4834-bd88-bf38fafc0fb6,13336,N/A,,,
R10- Other faecal abnormalities,,5a9f4a74-d88c-4a5d-a6b1-2d9d279577b9,13337,N/A,,,
R10- Halitosis,,2ba8b208-a624-4e6e-8f7f-57e662e22ee2,13338,N/A,,,
R10- Other specified symptoms and signs involving the digestive system and abdomen,,918f9939-ac2c-45fd-b736-e3c50edf40e2,13339,N/A,,,
R20- Disturbances of skin sensation,,8b03ad0b-d6e6-4031-ad80-1c44998b335d,13340,N/A,,,
R20- Paraesthesia (Paraesthesia of skin),,88331381-8857-410f-9ab2-62409a714635,13341,N/A,,,
R20- Hyperaesthesia,,08deae3a-aa65-4a49-b83e-a5646d2e864b,13342,N/A,,,
R20- Rash and other nonspecific skin eruption,,7b6de7c9-a0ff-4ad6-90b6-6a716a61a725,13343,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump of skin and subcutaneous tissue)",,ecb065a6-702d-4bfc-83b9-825ebd75cffa,13344,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, head)",,feb084f8-b1e1-4943-8c28-dadb123bb502,13345,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, neck)",,f18527ef-82b1-4b7e-ac5a-314e141d99a3,13346,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, trunk)",,770ef8ff-aff8-4de7-af3a-91b61917be0a,13347,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, upper limb)",,c10095bc-2efd-4565-b1a7-3aa01da4445f,13348,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, lower limb)",,a9efcf15-105c-4beb-8326-fdf1fd43acda,13349,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, multiple sites)",,ad9e662d-7de6-4286-86b4-d55bee31d73f,13350,N/A,,,
"R20- Mass, Lump, Swelling (Localized swelling, mass and lump, unspecified)",,4dde9220-c288-481b-939d-db5b9fb90250,13351,N/A,,,
R20- Other skin changes,,c8b10361-4745-4241-bd08-e28e489fe90c,13352,N/A,,,
R20- Cyanosis,,58427330-1e1a-4211-b178-1bfe51f3f76f,13353,N/A,,,
R20- Pallor,,bd69cffe-3d33-4b97-a92c-a050eb4147b2,13354,N/A,,,
R20- Flushing,,6b267495-02f5-41fb-be40-d120c590fcde,13355,N/A,,,
R20- Changes In Skin Texture,,7d93366a-d791-4574-90c8-99b277d77c16,13356,N/A,,,
R25- Abnormal involuntary movements,,a178c0f0-ba9e-4415-ad22-e3c6d9ee232f,13357,N/A,,,
R25- Abnormal head movements,,1a2cc2ce-c070-41d2-9e44-1200b68da0cf,13358,N/A,,,
"R25- Tremor (Tremor, unspecified)",,fc887ccf-9ac8-4789-96dc-f6007ed3f905,13359,N/A,,,
R25- Cramp and spasm,,3e546c49-f582-40a9-bbbb-2abd8fd84e66,13360,N/A,,,
R25- Fasciculation,,6e9fcef4-f06a-493d-bab4-67bda24cb8d8,13361,N/A,,,
R25- Other and unspecified abnormal involuntary movements,,8019920d-5757-4fe5-93d3-2e55366883d9,13362,N/A,,,
R25- Abnormalities of gait and mobility,,a293390e-7ccb-498d-a0e7-87b60bddd119,13363,N/A,,,
R25- Ataxic gait,,705097cd-f830-4021-a7c4-4ffa45630eda,13364,N/A,,,
"R25- Difficulty in walking, not elsewhere classified",,8c38f2ba-0afa-4272-a1c3-7bc487d19e20,13365,N/A,,,
R25- Immobility,,62c85f0f-890c-4795-a254-7389be86662f,13366,N/A,,,
R25- Tetany,,50b3e9eb-aa33-4032-83d4-0e24faea4714,13367,N/A,,,
R25- Meningismus,,a5bfe1d1-e6de-43eb-9127-2e2146d0a57c,13368,N/A,,,
R25- Abnormal reflex,,471b6c4d-5a9e-47f4-bb60-ed14a7e4be3c,13369,N/A,,,
R25- Abnormal posture,,470509ff-807e-4989-b6fe-713c6b8a4c3c,13370,N/A,,,
"R25- Tendency to fall, not elsewhere classified",,130eed39-82f6-42a2-9911-fc2570834680,13371,N/A,,,
R30- Pain (Pain associated with micturition),,34279d7d-d7c3-4399-8501-7ad3ea933e03,13372,N/A,,,
R30- Dysuria,,bbe76f39-abc0-45aa-8767-b3bfcbfaa34f,13373,N/A,,,
R30- Vesical tenesmus,,b9f40dec-810c-4f4b-9a3e-c115ae8b8313,13374,N/A,,,
"R30- Pain (Painful micturition, unspecified)",,92059dad-273d-40bf-8b69-04913258d2bd,13375,N/A,,,
R30- Hematuria (Unspecified haematuria),,5c524ad3-ef51-4daa-9a4f-b49043e04043,13376,N/A,,,
R30- Urinary Incontinence (Unspecified urinary incontinence),,d617e07c-7be4-45ca-9ae7-e183954aa830,13377,N/A,,,
R30- Retention Of Urine,,ad021038-2e4d-4881-9594-926c1e87f1b9,13378,N/A,,,
R30- Anuria & Oliguria (Anuria and oliguria),,dc76c236-038f-4796-921d-26f6e6693312,13379,N/A,,,
R30- Polyuria,,0f059141-7fa7-47b1-99f4-8632a2697993,13380,N/A,,,
R30- Urethral Discharge,,7906d9d7-cb59-471c-b43a-29ead9d196ea,13381,N/A,,,
"R40- Somnolence, stupor and coma",,bd65d2bc-c4d7-41db-8e8f-f0d44f9a3d13,13382,N/A,,,
R40- Stupor,,d6584096-1f23-4d9e-ad0f-ab92c2e9f865,13383,N/A,,,
"R40- Coma (Coma, unspecified)",,5932378d-8b46-4411-8c4c-1debafd27a37,13384,N/A,,,
R40- Other symptoms and signs involving cognitive functions and awareness,,fcc9d203-5050-4cb4-9ac0-de2f640619cf,13385,N/A,,,
"R40- Disorientation (Disorientation, unspecified)",,c34079b5-b298-42e3-a562-89e7e796e852,13386,N/A,,,
R40- Anterograde amnesia,,0ed7a1ab-87c9-4d83-a467-545c23ddd377,13387,N/A,,,
R40- Retrograde amnesia,,b8d9a46e-0df4-43a8-b5c5-4c426fb89229,13388,N/A,,,
R40- Other amnesia,,b9ea2b36-af59-4dad-b7b8-d870c2031311,13389,N/A,,,
R40- Other and unspecified symptoms and signs involving cognitive functions and awareness,,ce25c3ea-c0f4-4f9b-a948-2e6e49c39976,13390,N/A,,,
R40- Disturbances of smell and taste,,b50edbc1-6074-4bc9-893e-f67cceafe424,13391,N/A,,,
R40- Other symptoms and signs involving general sensations and perceptions,,6e3d68d5-88d6-46a5-a89f-fd6bce0f3f2f,13392,N/A,,,
R40- Auditory hallucinations,,e1b23111-ee83-4343-9f85-6f0a55035c7a,13393,N/A,,,
R40- Visual hallucinations,,fa0e0d0b-d106-464d-8e09-c5555fcc5184,13394,N/A,,,
R40- Other hallucinations,,a9d7ae42-4e34-49e0-9375-cf538d896928,13395,N/A,,,
"R40- Hallucination (Hallucinations, unspecified)",,3db27b48-3b9d-4cb8-89fb-9c9bb0268d98,13396,N/A,,,
R40- Other and unspecified symptoms and signs involving general sensations and perceptions,,9d4f8577-b422-4346-9315-347a0b3ba14e,13397,N/A,,,
R40- Nervousness,,1f278cdf-6d67-4165-af8f-b83231abf845,13398,N/A,,,
R40- Restlessness and agitation,,279eb82b-2a82-44b1-98cc-234bf1c64c09,13399,N/A,,,
R40- Unhappiness,,54e1468a-b3fd-4a37-931c-e654f64f5109,13400,N/A,,,
R40- Irritability and anger,,69779a23-8614-4a98-9c77-1a72280515e0,13401,N/A,,,
R40- Hostility,,48ebe385-3eb6-49af-ab1b-fbceee128e3a,13402,N/A,,,
R40- Physical Violence,,cf4cf670-df79-4308-87fd-8702fb5416ad,13403,N/A,,,
"R40- State of emotional shock and stress, unspecified",,92dce2fd-c401-42c1-8e0c-e8c453e662a5,13404,N/A,,,
R40- Very low level of personal hygiene,,3ef05344-1f42-4202-b592-99878c22277a,13405,N/A,,,
R40- Bizarre personal appearance,,0853190e-896b-4dfb-939b-7ba2f082ee31,13406,N/A,,,
R40- Slowness and poor responsiveness,,ecb58aa3-eb09-4349-99ae-e11f34c238f5,13407,N/A,,,
"R47- Speech disturbances, not elsewhere classified",,fb7adbab-3271-416c-aa33-607a437472c0,13408,N/A,,,
R47- Aphasia (Dysphasia and aphasia),,beca330a-8c60-49e4-a80f-f0cd3dcdb1bc,13409,N/A,,,
R47- Voice Disturbances,,17df0324-96cd-47e6-a234-652935ecfd6f,13410,N/A,,,
R50- Fever (Fever of other and unknown origin),,ae476f29-a1fe-48bc-9b7e-2d8b0d68eddc,13411,N/A,,,
R50- Other specified fever,,c2ccfe3a-1712-457b-877d-c0b06f265d8b,13412,N/A,,,
R50- Severe febrile disease (Other specified fever),,d982357a-a9f1-45aa-adba-8b3ae2c69633,13413,N/A,,,
R50- Fever (Unspecified),,59bb2638-4cbf-4ebd-8ee4-8ee22079d3f7,13414,N/A,,,
R50- Headache,,98b95c19-f45e-4dc5-8812-eb9a2c18ca6f,13415,N/A,,,
"R50- Toothache (Pain, not elsewhere classified)",,543bcbab-ce0b-4b6c-a2e6-f7c406028b9d,13416,N/A,,,
R50- Pain (Acute pain),,bb9bd5ac-966d-4899-ab44-4aa261e8f9c5,13417,N/A,,,
R50- Chronic intractable pain,,90df7974-7960-41d4-a566-713d96f1c238,13418,N/A,,,
R50- Pain (Other chronic pain),,334cb68f-d2f9-471a-aaeb-8cabb5e92705,13419,N/A,,,
"R50- Pain (Pain, unspecified)",,6d0064ef-4ef6-48da-a737-093913455218,13420,N/A,,,
R50- Malaise & Fatigue (Malaise and fatigue),,ee33bac5-178d-436f-bf9b-fd2cf8ce4a06,13421,N/A,,,
R50- Syncope And Collapse,,ee1745f8-efe5-40c4-b937-368a485b5ada,13422,N/A,,,
"R50- Convulsions, not elsewhere classified",,c4accf58-8da7-41a7-82ae-398805ca30c2,13423,N/A,,,
R50- Fever (Febrile convulsions),,f8cbf636-be65-427d-854c-9d015d04d044,13424,N/A,,,
"R50- Shock, not elsewhere classified",,3b9523e0-46fc-4994-a534-222ef36fd835,13425,N/A,,,
R50- Shock (Cardiogenic shock),,9b01d983-3770-4d0e-b0b1-b0fffa5777ad,13426,N/A,,,
R50- Shock (Hypovolaemic shock),,52d871c2-324a-46b7-9168-6c895a5b1962,13427,N/A,,,
R50- Shock (Septic shock),,fed1a733-cef9-48ce-bd9a-f3fb5b995687,13428,N/A,,,
R50- Other shock,,99cd77f3-c6b0-4437-9f3f-9b73839d9b12,13429,N/A,,,
"R50- Shock (Shock, unspecified)",,9ebc1034-4ef0-4145-89cb-94e903918bb9,13430,N/A,,,
"R50- Haemorrhage (Haemorrhage, not elsewhere classified)",,feccb57e-205d-4f0f-8330-0c144b17098a,13431,N/A,,,
R50- Enlarged lymph nodes,,ddb757d6-f861-43cb-b1df-0085f12a585c,13432,N/A,,,
R50- Localized enlarged lymph nodes,,adf21ec7-1520-4043-9f81-2327cb794e09,13433,N/A,,,
R50- Generalized enlarged lymph nodes,,a7cae55f-b23c-43fd-9876-21efd2a2b524,13434,N/A,,,
"R50- Oedema, not elsewhere classified",,1dc121f6-294e-427e-906f-ea60dabbeca6,13435,N/A,,,
R50- Edema (Localized oedema),,5e9008d6-a7ab-4e2a-8b91-5e892f00476f,13436,N/A,,,
R50- Generalized oedema,,f62da3d3-8c16-4842-b224-72f23bcbfcdf,13437,N/A,,,
"R50- Edema (Oedema, unspecified)",,dd61aa0e-867c-469c-a798-6a6f3578d0d6,13438,N/A,,,
R50- Development Delay (Delayed milestone),,cb064c5c-e07e-48c4-83d9-ec38643f858e,13439,N/A,,,
"R50- Development (Lack of expected normal physiological development, unspecified)",,3a32e3e7-12d4-43a5-92bb-201aa394057f,13440,N/A,,,
R50- Anorexia,,ddcc623b-db83-42fb-8c6b-aad193f9f4c4,13441,N/A,,,
R50- Polydipsia,,fad7d298-5d96-4357-ab7b-8301326d1351,13442,N/A,,,
R50- Weight Loss (Abnormal weight loss),,d2cdd7fe-3bf5-45ed-bdc6-cfbfd242101d,13443,N/A,,,
R50- Weight gain (Abnormal weight gain),,88f6a9dc-0891-4b6c-a8d8-b8f158a7e5d3,13444,N/A,,,
R50- Underweight (Insufficient intake of food and water due to self neglect),,1baee5ef-c58d-4eae-83d0-03ed624e7143,13445,N/A,,,
R50- Cachexia (Other symptoms and signs concerning food and fluid intake),,e3606d1d-c549-4db6-b355-d4fddfc56ec1,13446,N/A,,,
"R50- Dry Mouth (Dry mouth, unspecified)",,31e4433d-cb1a-48a7-b2a7-0d2ebe58ea20,13447,N/A,,,
R50- Clubbing (Clubbing of fingers),,7c2dd851-9110-4dca-bbe3-1752f3d9f323,13448,N/A,,,
"R70- Examination, Encounter (Laboratory evidence of human immunodeficiency virus [HIV])",,54dfd7b8-b495-4226-9b11-7b94ef5ba4b5,13449,N/A,,,
"Symptoms, Signs, Findings",,5c739b46-28cf-11eb-adc1-0242ac120002,13450,N/A,,,
S00- Fracture of malar and maxillary bones,,88faa82a-9a6c-4b64-8c89-71c0917605ed,13451,N/A,,,
S00- Dental Disorder (Fracture of tooth),,c73f2bcf-db97-4ded-a5fa-9cba6b8e05f5,13452,N/A,,,
S00- Fracture of mandible,,e779b8d8-c280-44e0-bbd3-91ddd4cf6dd5,13453,N/A,,,
"S00- Fracture (Fracture of skull and facial bones, part unspecified)",,01135aa5-ef8a-406b-abb3-bf9ff5214f4b,13454,N/A,,,
"S00- Dislocation, Sprain And Strain Of Joints And Ligaments Of Head",,7dbe8264-e84f-4de5-ac80-5da0908529fa,13455,N/A,,,
S00- Dislocation of jaw,,ce3256c4-1ee9-4ab3-add7-e9199855230b,13456,N/A,,,
S00- Dental Disorder (Dislocation of tooth),,3994c814-50e2-4a15-aa71-16f24118716c,13457,N/A,,,
S00- Sprain and strain of jaw,,1a2146ab-628b-4539-bf9f-48d32b550ed0,13458,N/A,,,
S00- Head (Injury of eye and orbit),,39123957-a23c-4306-957b-a8830966232f,13459,N/A,,,
S00- Concussion,,3c200a3e-a65b-46d2-9bba-890b853e1cf1,13460,N/A,,,
S00- Head (Crushing injury of head),,d97ea988-f314-4c32-9f76-f1798b2a294e,13461,N/A,,,
"S00- Head (Crushing injury of head, part unspecified)",,e8a8a778-967b-44e8-a441-0a79b7320c6b,13462,N/A,,,
S10- Fracture (Fracture of neck),,7ac3303c-d9a5-4854-9516-defeef6720fa,13463,N/A,,,
S10- Fracture (Multiple fractures of cervical spine),,5e36d030-4ffb-4620-8ad8-cde0dd4ccc3a,13464,N/A,,,
S20- Fracture (Fracture of thoracic vertebra),,3c628e1c-3a7e-4a76-80b8-59a1641febdc,13465,N/A,,,
S20- Fracture (Fracture of rib),,68dd45c3-da0e-43be-b7fa-480f92790eea,13466,N/A,,,
S20- Hemopneumothorax (Traumatic haemopneumothorax),,fa2331b0-73c5-4bdf-9cd3-f1e4ee45cc21,13467,N/A,,,
"S30- Abdomen, Lower back, Pelvis (Superficial injury of abdomen, lower back and pelvis)",,0cc6b729-a0fb-44a6-aa77-71a2af88f035,13468,N/A,,,
S30- Open wound of abdominal wall,,4b8a2308-abb3-4d95-9276-db9c3cf78e1c,13469,N/A,,,
S30- Fracture (Fracture of lumbar spine and pelvis),,baf0059e-172b-402d-848b-1f53a0f70958,13470,N/A,,,
S30- Fracture (Fracture of pubis),,f5059817-99bb-4983-ba36-83498ab937e1,13471,N/A,,,
S30- Fracture (Fracture of other and unspecified parts of lumbar spine and pelvis),,ba704ec1-b755-4744-8023-352f6c6eed6e,13472,N/A,,,
S30- Abdomen (Injury of intra-abdominal organs),,b4676a77-5157-40d7-a927-37ed5bbb2875,13473,N/A,,,
"S30- Abdomen, Lower back, Pelvis (Injury of muscle and tendon of abdomen, lower back and pelvis)",,50708fdf-54bb-4a8d-852a-918df1978774,13474,N/A,,,
S30- Abdomen (Injury of intra-abdominal organ(s) with pelvic organ(s)),,81e54096-bb51-4f94-91c6-53341d56ce53,13475,N/A,,,
"S30- Abdomen, Lower back, Pelvis (Unspecified injury of abdomen, lower back and pelvis)",,196e7af8-beae-4d58-bc68-03b8526dfa64,13476,N/A,,,
"S40- Injury (Superficial injury of shoulder and upper arm, unspecified)",,a1930510-1267-4fc4-8f78-74594a564403,13477,N/A,,,
S40- Open wound of shoulder and upper arm,,e1768ae2-f276-42f4-95b0-d993a14d883f,13478,N/A,,,
S40- Fracture (Fracture of shoulder and upper arm),,14b0afa8-58e2-4448-84e5-dbba3901068a,13479,N/A,,,
"S40- Fracture (Fracture of shoulder girdle, part unspecified)",,09983e68-5794-4a22-b66d-48e31d3f308c,13480,N/A,,,
S40- Dislocation (Dislocation of shoulder joint),,7f8269b3-2495-49b0-a333-c5a180badd0b,13481,N/A,,,
S50- Injury (Superficial injury of forearm),,a2f4f693-df14-49b9-9892-80c7bf7f0acb,13482,N/A,,,
"S50- Superficial injury of forearm, unspecified",,c6f7cd6d-0223-4ce6-84cc-1a0e93c61f9a,13483,N/A,,,
S50- Open wound of forearm,,f5b05597-7de7-42d4-b242-c6050cacbec4,13484,N/A,,,
S50- Fracture (Fracture of forearm),,d69f7951-e3ee-4166-ac93-835e945726b8,13485,N/A,,,
"S50- Dislocation (Dislocation of elbow, unspecified)",,78d46ff5-042a-475a-9500-f37c31072604,13486,N/A,,,
S50- Injury (Injury of multiple muscles and tendons at forearm level),,5e6215b1-fa3e-4155-9948-b925e630ddeb,13487,N/A,,,
S50- Injury (Unspecified injury of forearm),,42c1921e-4501-4de1-80e3-16617208ec87,13488,N/A,,,
S60- Injury (Superficial injury of wrist and hand),,eb24b5b1-9b8e-46d5-bbfe-a4d55beff76c,13489,N/A,,,
S60- Fracture (Fracture at wrist and hand level),,d9e828d4-7825-4b29-b09c-ddb5919a4821,13490,N/A,,,
S60- Injury (Injury of unspecified nerve at wrist and hand level),,dcd83531-984c-4ac1-a3f1-0ad5a9b8ba09,13491,N/A,,,
S60- Injury (Unspecified injury of wrist and hand),,4eea2ab9-2897-42ca-b868-d17965b12e3e,13492,N/A,,,
S70- Injury (Superficial injury of hip and thigh),,3b44fe5d-83aa-4d85-8734-ae235d393e60,13493,N/A,,,
S70- Fracture (Fracture of femur),,e3622d4e-f200-4afa-bb83-3699e7683992,13494,N/A,,,
S70- Injury (Unspecified injury of hip and thigh),,091f345e-abda-4079-a32f-c830901613e0,13495,N/A,,,
S80- Injury (Superficial injury of lower leg),,51f89e81-17cb-4dfb-a96d-ff5d2116a2a1,13496,N/A,,,
"S80- Injury (Superficial injury of lower leg, unspecified)",,be78bf13-53b5-4e94-ab01-12929f3cb990,13497,N/A,,,
"S80- Fracture (Fracture of lower leg, part unspecified)",,03c33487-bb7c-44e6-a26b-a00d78153eb7,13498,N/A,,,
